Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,42.52264625,42.67713028,43.23521668,43.39679324,45.2630999,45.87440315,46.95444243,49.10625227,51.329542,49.17626466,53.86816479,54.21257474,56.05821568,57.93550595,59.30211035
Russia,167.5039675,170.0460234,170.0386008,176.9028359,178.186745,180.0592196,185.9070766,186.7576706,191.2495495,179.677338,191.0875641,200.2229946,204.8855043,201.3809012,195.997909
India,16.54654149,16.49605799,16.70447392,16.82437768,17.43537136,17.83438951,18.48359809,19.23546576,19.88814797,21.59586541,22.27102263,22.91897236,23.75803557,24.02123876,25.24166732
China,35.6471922,36.82979638,39.05031396,44.34873751,50.28477788,55.26349679,60.08058904,64.64053401,66.33501255,70.51952852,77.50984873,82.73464886,85.45790613,87.78133246,88.69217592
South Africa,96.15287984,97.58611573,94.53725488,99.85847993,107.7081219,106.2116494,104.1196242,110.0604016,116.9812892,113.0930294,109.7621749,107.7226401,104.5487643,103.2055601,106.8802951
United States,319.47567,310.3961138,311.0090846,309.061772,312.5251542,311.1341822,305.2320043,307.6315205,296.9219827,279.8198812,283.9702164,278.7591456,272.4967991,273.8269241,276.0091994
